,h,min,sec,duration,id,join,dataset
0,0.0,0.0,20.751832008361816,20.751832008361816,9,3,0
1,1.0,44.0,48.42108917236328,6288.421089172363,1,1,1
2,0.0,0.0,19.45336937904358,19.45336937904358,1,2,0
3,0.0,0.0,20.225037336349487,20.225037336349487,7,3,0
4,0.0,1.0,5.909081935882568,65.90908193588257,9,1,0
5,0.0,30.0,20.213847875595093,1820.213847875595,6,0,1
6,1.0,43.0,41.114274978637695,6221.114274978638,5,1,1
7,0.0,30.0,49.5042450428009,1849.504245042801,9,2,1
8,0.0,0.0,21.80236005783081,21.80236005783081,0,4,0
9,0.0,0.0,19.130388736724854,19.130388736724854,3,0,0
10,0.0,0.0,22.25451898574829,22.25451898574829,5,4,0
11,0.0,31.0,0.8199124336242676,1860.8199124336245,3,0,1
12,0.0,30.0,19.45814061164856,1819.4581406116488,0,2,1
13,0.0,0.0,20.989500522613525,20.989500522613525,2,3,0
14,0.0,30.0,50.95162606239319,1850.9516260623927,1,2,1
15,1.0,45.0,37.678894996643066,6337.678894996643,9,1,1
16,0.0,1.0,4.978546857833862,64.97854685783386,8,1,0
17,0.0,30.0,49.19529438018799,1849.195294380188,5,2,1
18,0.0,1.0,3.784847497940064,63.78484749794006,5,1,0
19,0.0,0.0,18.76953721046448,18.76953721046448,9,0,0
20,0.0,0.0,21.831725120544437,21.831725120544437,6,4,0
21,0.0,1.0,3.823988914489746,63.82398891448975,2,1,0
22,1.0,42.0,54.26154804229736,6174.261548042297,2,1,1
23,0.0,0.0,20.371166467666622,20.371166467666622,3,2,0
24,0.0,0.0,19.49646258354187,19.49646258354187,1,0,0
25,1.0,44.0,44.41201663017273,6284.412016630173,0,1,1
26,0.0,0.0,18.882668256759644,18.882668256759644,7,0,0
27,1.0,44.0,28.730422735214237,6268.730422735214,3,1,1
28,0.0,30.0,37.56362581253052,1837.5636258125303,3,2,1
29,0.0,0.0,21.79313945770264,21.79313945770264,2,4,0
30,0.0,0.0,19.41752576828003,19.41752576828003,2,0,0
31,1.0,43.0,19.430660486221317,6199.430660486221,7,1,1
32,0.0,0.0,18.942234754562374,18.942234754562374,0,2,0
33,0.0,31.0,0.8428115844726562,1860.8428115844729,2,0,1
34,0.0,0.0,20.3265233039856,20.3265233039856,2,2,0
35,0.0,0.0,19.608922481536865,19.608922481536865,8,2,0
36,0.0,30.0,30.76307821273804,1830.763078212738,6,2,1
37,0.0,0.0,21.71983814239502,21.71983814239502,8,4,0
38,0.0,31.0,18.10924458503723,1878.1092445850368,4,0,1
39,0.0,0.0,19.340537071228027,19.340537071228027,5,0,0
40,0.0,0.0,21.8298773765564,21.8298773765564,1,4,0
41,0.0,30.0,13.553767442703249,1813.5537674427032,8,2,1
42,0.0,30.0,34.90488052368164,1834.9048805236816,7,2,1
43,0.0,0.0,21.750439643859863,21.750439643859863,4,4,0
44,0.0,0.0,21.835081815719604,21.835081815719604,7,4,0
45,0.0,1.0,3.644806146621704,63.6448061466217,0,1,0
46,0.0,0.0,20.22404265403748,20.22404265403748,8,3,0
47,0.0,30.0,42.53595566749573,1842.535955667496,8,0,1
48,0.0,30.0,0.9274847507476808,1800.9274847507477,5,0,1
49,0.0,0.0,20.588476181030277,20.588476181030277,4,3,0
50,0.0,1.0,3.3577795028686523,63.35777950286865,6,1,0
51,0.0,0.0,19.319388151168823,19.319388151168823,4,0,0
52,0.0,0.0,18.87608766555786,18.87608766555786,8,0,0
53,1.0,46.0,35.8946418762207,6395.894641876221,4,1,1
54,0.0,1.0,3.928273916244507,63.92827391624451,1,1,0
55,0.0,0.0,20.37415671348572,20.37415671348572,1,3,0
56,0.0,0.0,18.753056287765503,18.753056287765503,0,3,0
57,0.0,0.0,20.637229919433597,20.637229919433597,4,2,0
58,0.0,31.0,15.786601781845093,1875.786601781845,4,2,1
59,1.0,45.0,2.663668394088745,6302.663668394089,8,1,1
60,0.0,30.0,49.84031295776367,1849.840312957764,7,0,1
61,0.0,0.0,18.655630350112915,18.655630350112915,6,0,0
62,0.0,0.0,19.135293006896973,19.135293006896973,0,0,0
63,0.0,0.0,18.986170053482056,18.986170053482056,9,2,0
64,0.0,30.0,51.14432954788208,1851.144329547882,2,2,1
65,0.0,0.0,22.0192711353302,22.0192711353302,3,4,0
66,0.0,0.0,20.405828952789307,20.405828952789307,3,3,0
67,0.0,0.0,21.904209852218628,21.904209852218628,9,4,0
68,0.0,30.0,31.813538312911987,1831.813538312912,0,0,1
69,0.0,0.0,20.41505002975464,20.41505002975464,5,2,0
70,0.0,30.0,39.47133111953735,1839.4713311195371,1,0,1
71,0.0,0.0,20.44710397720337,20.44710397720337,6,2,0
72,0.0,0.0,20.26520872116089,20.26520872116089,7,2,0
73,0.0,1.0,4.699028968811035,64.69902896881104,4,1,0
74,0.0,30.0,34.41081404685974,1834.41081404686,9,0,1
75,0.0,0.0,20.44555640220642,20.44555640220642,5,3,0
76,0.0,1.0,4.957031011581421,64.95703101158142,3,1,0
77,0.0,1.0,4.232437372207642,64.23243737220764,7,1,0
78,0.0,0.0,20.348784685134888,20.348784685134888,6,3,0
79,1.0,45.0,0.086644172668457,6300.0866441726685,6,1,1
